#{"t_start": 1615678322.2314985, "env_id": null}
r,l,t,is_success,time
3244.510543,1,23977.257148,False,500
3237.559471,1,24004.944339,False,500
3248.422038,1,24032.940044,False,500
3252.455638,1,24060.879229,False,500
40000,1,24071.567883,True,190
40000,1,24083.493169,True,209
40000,1,24089.597106,True,102
3262.083042,1,24117.136686,False,500
3231.154217,1,24137.433431,False,500
40000,1,24143.468554,True,102
3245.210572,1,24171.258876,False,500
40000,1,24177.349625,True,102
3265.219878,1,24199.001422,False,500
40000,1,24215.709551,True,296
3257.393949,1,24243.451199,False,500
40000,1,24249.400959,True,100
3239.577484,1,24276.932406,False,500
40000,1,24283.839401,True,119
40000,1,24289.899493,True,102
3254.138936,1,24317.668996,False,500
40000,1,24335.77979,True,446
3232.506848,1,24356.165788,False,500
3248.60167,1,24383.721971,False,500
40000,1,24389.717792,True,102
3244.689452,1,24412.368558,False,500
40000,1,24433.393521,True,377
3250.328877,1,24460.989473,False,500
3248.720064,1,24488.623929,False,500
3230.840133,1,24508.923049,False,500
3234.985588,1,24536.702084,False,500
40000,1,24541.320575,True,102
40000,1,24547.312443,True,102
40000,1,24553.370401,True,102
40000,1,24559.336307,True,102
40000,1,24565.868234,True,111
3229.395586,1,24593.368296,False,500
40000,1,24610.345238,True,301
40000,1,24616.411112,True,102
3227.877427,1,24636.820826,False,500
40000,1,24642.77832,True,102
3248.053246,1,24670.20584,False,500
40000,1,24677.382469,True,122
40000,1,24695.958986,True,330
3258.482647,1,24723.7361,False,500
40000,1,24728.458141,True,102
40000,1,24734.528508,True,102
40000,1,24739.123693,True,102
40000,1,24746.185172,True,122
40000,1,24752.288971,True,102
40000,1,24758.368151,True,102
40000,1,24765.484832,True,123
3231.742664,1,24793.055764,False,500
40000,1,24801.384468,True,194
40000,1,24807.360492,True,102
40000,1,24813.385372,True,101
40000,1,24832.746176,True,349
40000,1,24852.551583,True,359
40000,1,24857.230563,True,102
40000,1,24863.270594,True,102
3258.239169,1,24890.823885,False,500
40000,1,24896.849145,True,102
3260.89571,1,24924.280431,False,500
3259.212078,1,24952.114257,False,500
40000,1,24958.174873,True,102
3229.925706,1,24985.630234,False,500
3258.333192,1,25012.591948,False,500
3232.609865,1,25033.112773,False,500
40000,1,25054.061554,True,375
40000,1,25058.725066,True,102
3233.288619,1,25086.050392,False,500
3247.649674,1,25113.376076,False,500
40000,1,25130.205582,True,302
3257.727672,1,25150.793709,False,500
3261.339415,1,25178.68041,False,500
40000,1,25186.27552,True,127
3227.70743,1,25213.914899,False,500
40000,1,25218.578009,True,102
3168.021935,1,25246.182087,False,500
3262.569259,1,25273.933119,False,500
3240.619031,1,25301.65674,False,500
40000,1,25312.621933,True,194
40000,1,25318.753278,True,102
40000,1,25324.775764,True,102
3198.817372,1,25352.024185,False,500
40000,1,25357.940364,True,101
3243.201897,1,25378.413885,False,500
3221.051572,1,25398.690379,False,500
3240.160208,1,25419.24312,False,500
40000,1,25427.570333,True,195
40000,1,25433.668534,True,102
40000,1,25442.483005,True,154
3254.223801,1,25463.135533,False,500
3245.966511,1,25483.887956,False,500
3242.70751,1,25504.733532,False,500
3227.31733,1,25528.235045,False,500
40000,1,25550.396312,True,402
40000,1,25556.449739,True,102
3263.68549,1,25576.854053,False,500
40000,1,25581.473931,True,102
40000,1,25587.506912,True,102
3236.628541,1,25614.817529,False,500
40000,1,25619.612959,True,102
40000,1,25625.644388,True,102
3255.98447,1,25653.260246,False,500
40000,1,25659.336318,True,102
40000,1,25665.33454,True,102
40000,1,25684.063787,True,338
40000,1,25696.743847,True,299
3239.685591,1,25717.529812,False,500
40000,1,25722.143014,True,102
40000,1,25728.166161,True,102
40000,1,25739.132627,True,192
3246.188356,1,25767.012308,False,500
40000,1,25773.078161,True,102
40000,1,25788.606081,True,372
40000,1,25796.304694,True,137
40000,1,25803.317752,True,121
3236.563272,1,25830.712155,False,500
40000,1,25835.392071,True,102
3233.307912,1,25862.724576,False,500
3252.404396,1,25890.426857,False,500
40000,1,25896.514827,True,102
40000,1,25917.444673,True,377
40000,1,25928.489875,True,194
3253.15406,1,25955.893527,False,500
3269.183234,1,25983.924971,False,500
40000,1,26008.931906,True,446
40000,1,26014.924539,True,102
40000,1,26020.915237,True,102
40000,1,26026.977188,True,102
3174.38189,1,26054.554938,False,500
40000,1,26060.619415,True,102
40000,1,26066.837607,True,102
3229.464471,1,26094.301063,False,500
3263.277636,1,26122.090951,False,500
3248.427952,1,26150.073954,False,500
40000,1,26164.219013,True,339
40000,1,26184.727548,True,371
40000,1,26205.393617,True,375
3243.982457,1,26232.858258,False,500
3227.103541,1,26260.095306,False,500
40000,1,26266.122508,True,102
40000,1,26272.130731,True,102
3232.285931,1,26299.791731,False,500
3221.380276,1,26320.246747,False,500
40000,1,26324.866676,True,102
40000,1,26330.863449,True,102
3229.033462,1,26358.267276,False,500
40000,1,26374.515318,True,293
40000,1,26379.147927,True,102
40000,1,26383.778314,True,102
40000,1,26388.456381,True,102
40000,1,26394.435179,True,102
3250.277013,1,26422.008157,False,500
40000,1,26428.100239,True,102
3238.849767,1,26451.405426,False,500
3248.192805,1,26479.20567,False,500
3262.113404,1,26507.043355,False,500
40000,1,26513.164528,True,102
40000,1,26519.160769,True,102
40000,1,26525.1545,True,102
40000,1,26542.396822,True,310
40000,1,26548.503562,True,102
3259.312935,1,26569.231022,False,500
3266.629414,1,26596.695001,False,500
3256.136505,1,26624.684775,False,500
40000,1,26630.761808,True,102
3260.08882,1,26658.557237,False,500
40000,1,26664.603025,True,102
40000,1,26670.324215,True,129
40000,1,26676.32136,True,102
3255.859028,1,26703.922491,False,500
3249.05537,1,26731.446519,False,500
3232.444766,1,26751.831092,False,500
40000,1,26756.449209,True,102
40000,1,26761.043426,True,102
3250.254032,1,26781.677744,False,500
40000,1,26787.676823,True,102
3240.515187,1,26815.083485,False,500
3238.536486,1,26842.416342,False,500
40000,1,26866.645577,True,443
3247.871924,1,26887.167206,False,500
40000,1,26893.270095,True,102
3239.393082,1,26920.977678,False,500
40000,1,26927.061047,True,102
40000,1,26938.168042,True,196
3234.309073,1,26965.443959,False,500
3245.429267,1,26985.732828,False,500
40000,1,26991.783888,True,101
3193.274687,1,27019.498768,False,500
40000,1,27025.494364,True,102
40000,1,27042.919739,True,315
3165.890309,1,27070.858352,False,500
3239.693511,1,27098.498758,False,500
3263.529167,1,27126.169412,False,500
3232.795088,1,27153.588598,False,500
40000,1,27158.266932,True,102
40000,1,27162.896887,True,102
3245.702119,1,27190.185357,False,500
3246.384226,1,27217.987106,False,500
40000,1,27224.003579,True,102
3254.166184,1,27251.442679,False,500
40000,1,27256.143454,True,102
3266.524854,1,27277.922036,False,500
3258.7135,1,27305.409034,False,500
40000,1,27325.90715,True,370
40000,1,27331.842374,True,101
3258.02108,1,27359.434508,False,500
40000,1,27366.028889,True,113
3258.517064,1,27393.582143,False,500
3239.440639,1,27421.111777,False,500
40000,1,27427.157655,True,102
40000,1,27433.253611,True,102
40000,1,27437.856634,True,102
40000,1,27442.812567,True,111
40000,1,27458.024996,True,369
3234.200981,1,27485.580536,False,500
40000,1,27491.632859,True,102
3232.677171,1,27511.890922,False,500
3248.455092,1,27539.456953,False,500
40000,1,27545.51641,True,102
3244.42431,1,27573.331053,False,500
3233.276299,1,27600.880804,False,500
40000,1,27613.632615,True,308
40000,1,27632.21992,True,330
40000,1,27638.309372,True,102
40000,1,27644.319218,True,102
40000,1,27664.718664,True,368
40000,1,27670.713584,True,102
3230.22778,1,27698.109578,False,500
40000,1,27715.628114,True,315
3260.229477,1,27736.407867,False,500
40000,1,27755.824325,True,351
3237.416113,1,27783.606303,False,500
40000,1,27789.693716,True,102
40000,1,27795.687387,True,102
3245.022878,1,27823.259966,False,500
40000,1,27834.202117,True,189
40000,1,27840.316753,True,104
3233.725691,1,27867.792828,False,500
40000,1,27886.224956,True,333
40000,1,27892.210638,True,102
40000,1,27904.712523,True,221
40000,1,27910.730395,True,102
3267.595654,1,27938.78789,False,500
3260.256888,1,27966.372194,False,500
40000,1,27986.677028,True,362
40000,1,27992.688825,True,102
40000,1,27998.990378,True,107
3163.40997,1,28026.718651,False,500
3260.64087,1,28054.405911,False,500
40000,1,28059.775603,True,120
3236.313987,1,28087.091454,False,500
40000,1,28093.240296,True,102
3009.640181,1,28121.16876,False,500
3262.470195,1,28148.713855,False,500
3262.524644,1,28169.148995,False,500
40000,1,28175.203906,True,102
3249.593516,1,28202.817481,False,500
40000,1,28208.902806,True,102
3238.053215,1,28236.369477,False,500
3251.075054,1,28264.244395,False,500
3262.660192,1,28291.868914,False,500
40000,1,28297.918906,True,102
40000,1,28302.447917,True,99
